Schokolade, Bundesfinanzministerium, 2015, ﻿< 10,00 ,  Verwertung, BMF, fail
'Kalender, Süßigkeiten', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Kalender, 2 Flascheasche. Wein', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Süßigkeiten, Weihnachtsgebäck F', Bundesfinanzministerium, 2015, < 25,00 , n.a., BMF, success
'Kalender, Süßigkeiten', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Kalender, 2 Flasche Wein', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Kalender, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Süßigkeiten, Weihnachtsgebäck', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Kalender, Süßigkeiten', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Süßigkeiten, Weihnachtsgebäck', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Kalender, Süßigkeiten', Bundesfinanzministerium, 2015, < 25,0O , Behalten, BMF, success
1 kl. Holzskulptur, Bundesfinanzministerium, 2015, < 25,00 ,  Verwertung, BMF, fail
1 Kugelschreiber, Bundesfinanzministerium, 2015, ca. 35,00 ,  Verwertung, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, < 12,00 , Behalten, BMF, success
kl. Schrein mit Jadestein, Bundesfinanzministerium, 2015, < 15,00 ,  Verwertung, BMF, fail
chinesische Briefmarken, Bundesfinanzministerium, 2015, < 15,00 ,  Verwertung, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, < 25,00 ,  Aufnahme Bestand Bibliothek |, BMF, fail
1 Flasche Wer, Bundesfinanzministerium, 2015, Ca. 10,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
1 Hammer mit Namensgravur, Bundesfinanzministerium, 2015, ca. 10,00 , Behalten, BMF, success
1 Krawatte, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Warnweste, Bundesfinanzministerium, 2015, ca. 5,00 ,  Verwertung, BMF, fail
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
1 Flasche Wein, Bundesfinanzministerium, 2015, са. 10,00 , Behalten, BMF, success
1 Flasche Wein, Bundesfinanzministerium, 2015, са. 10,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch rein Aufnahme Bestand Bibliothek, Bundesfinanzministerium, 2015, < 25,00 , n.a., BMF, success
1 Ausstellungskatalog, Bundesfinanzministerium, 2015, ca. 30,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, < 25,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
1 Krawattennadel, Bundesfinanzministerium, 2015, ca, 5,00 , Behalten, BMF, success
1 Schlüsselanhänger, Bundesfinanzministerium, 2015, ca. 5,00 , Behalten, BMF, success
1 Schlüsselanhänger, Bundesfinanzministerium, 2015, са 5,00 , Behalten, BMF, success
1 Krawattennadel, Bundesfinanzministerium, 2015, ca. 5,00 , Behalten, BMF, success
1 Schlüsselanhänger, Bundesfinanzministerium, 2015, ca. 5,00 , Behalten, BMF, success
2 Broschüren, Bundesfinanzministerium, 2015, < 25,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, 98,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, 39,90 , Behalten, BMF, success
'1 Flascheasche, Spirituose', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
1 Powerbank-Akku, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Bleistiftbox mit fünf Stiften, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, < 30,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 kl. Kunstdruck, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
1 kl. Kunstdruck, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
1 kl. Kunstdruck, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
1 kl. Kunstdruck, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
1 kl. Kunstdruck, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
1 kl. Kunstdruck, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
1 kl. Kunstdruck, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
1 kl. Kunstdruck, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
'kl. Flasche Spirituose, Schokolade', Bundesfinanzministerium, 2015, 25,00 , Behalten, BMF, success
2 Brotdosen, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
Süßigkeiten, Bundesfinanzministerium, 2015, < 5,00 , Behalten, BMF, success
Süßigkeiten, Bundesfinanzministerium, 2015, <5,00 , Behalten, BMF, success
Süßigkeiten, Bundesfinanzministerium, 2015, < 5,00 , Behalten, BMF, success
Süßigkeiten, Bundesfinanzministerium, 2015, < 5,00 , Behalten, BMF, success
1 Mauspad, Bundesfinanzministerium, 2015, < 5,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, < 10,00 ,  Verwertung, BMF, fail
Bewirtung, Bundesfinanzministerium, 2015, ca. 20,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
